name,price,href,size,color,rpm,airflow,noise_level,pwm
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,99.99,https://pcpartpicker.com/product/YBYRsY/lian-li-uni-fan-tl-120-reverse-blade-834-cfm-120-mm-fans-3-pack-12rtl3w,120,White,"200,2300",83.4,34,false
Phanteks M25-120 PWM D-RGB 3-Pack,34.49,https://pcpartpicker.com/product/bybTwP/phanteks-m25-120-pwm-d-rgb-8426-cfm-120-mm-fans-3-pack-ph-f120m25_drgb_pwm_bk01_3p,120,Black,"500,2000",84.26,35.7,true
Noctua A12x15 PWM,21.95,https://pcpartpicker.com/product/rhQRsY/noctua-nf-a12x15-pwm-942-cfm-120mm-fan-nf-a12x15-pwm,120,Brown,"450,1850","41.67,55.44","16.8,23.9",true
Thermalright TL-C14C,8.99,https://pcpartpicker.com/product/2p4Zxr/thermalright-tl-c14c-758-cfm-140-mm-fan-tl-c14c,140,Black,1500,75.8,26.4,true
Noctua P14s redux-1500 PWM,16.95,https://pcpartpicker.com/product/8r9KHx/noctua-case-fan-nfp14sredux1500pwm,140,Black / Gray,"450,1500",78.69,25.8,true
NZXT F RGB Core 2-Pack,59.99,https://pcpartpicker.com/product/bwgrxr/nzxt-f-rgb-core-8948-cfm-140-mm-fans-2-pack-rf-c14hf-w1,140,White,"500,1800","24.85,89.48","20,32.5",true
Thermalright TL-C12C,7.19,https://pcpartpicker.com/product/PgTp99/thermalright-tl-c12c-6617-cfm-120-mm-fan-tl-c12c-d6,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN AL120 V2 3-Pack,74.56,https://pcpartpicker.com/product/4FGhP6/lian-li-uni-fan-al120-v2-773-cfm-120-mm-fans-3-pack-al120v2-3b,120,Black,"250,2000",77.3,28.7,true
NZXT F140 RGB 2-Pack,63.99,https://pcpartpicker.com/product/qc3gXL/nzxt-f140-rgb-8948-cfm-140-mm-fans-2-pack-rf-r14df-w1,140,White,"500,1800","24.85,89.48","20,32.5",true
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,,https://pcpartpicker.com/product/447G3C/arctic-p12-pwm-pst-a-rgb-0db-488-cfm-120-mm-fans-3-pack-acfan00258a,120,White / Gray,,48.8,,true
Corsair iCUE QL120 3-Pack,62.99,https://pcpartpicker.com/product/TdqBD3/corsair-icue-ql120-rgb-418-cfm-120-mm-fans-3-pack-co-9050098-ww,120,Black,1500,41.8,26,true
Phanteks M25-120 PWM 3-Pack,19.98,https://pcpartpicker.com/product/zpjBD3/phanteks-m25-120-pwm-8426-cfm-120-mm-fans-3-pack-ph-f120m25_pwm_bbk01_3p,120,Black,"500,2000",84.26,35.7,true
Noctua A9x14 HS-PWM chromax.Black.swap,21.95,https://pcpartpicker.com/product/NbpmP6/noctua-nf-a9x14-hs-pwm-chromaxblackswap-3384-cfm-92-mm-fan-nf-a9x14-hs-pwm-chromaxblackswap,92,Black / Multicolor,"600,2500",33.84,23.6,true
Thermalright TL-C12RW-S V2,6.99,https://pcpartpicker.com/product/qRwmP6/thermalright-tl-c12rw-s-v2-58-cfm-120-mm-fan-c12rw-s-v2,120,Black / White,1500,58,25.6,true
Montech RX120,12.9,https://pcpartpicker.com/product/j79wrH/montech-rx120-59-cfm-120-mm-fan-rx120-pwm-white,120,White,"800,1600",59,27,true
ARCTIC P14 PWM PST A-RGB,21.99,https://pcpartpicker.com/product/fJ4Ycf/arctic-p14-pwm-pst-a-rgb-68-cfm-140-mm-fan-acfan00239a,140,Black,,"0,68",,true
NZXT F120 RGB,24.99,https://pcpartpicker.com/product/XxD7YJ/nzxt-f120-rgb-5018-cfm-120-mm-fan-rf-r12sf-w1,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Lian Li UNI FAN SL V2,28.5,https://pcpartpicker.com/product/FgRYcf/lian-li-uni-fan-sl-v2-776-cfm-140-mm-fan-sl140v2-1w,140,White / Silver,"250,1600",77.6,29,true
Lian Li UNI FAN SL V2 120 5-Pack,129.88,https://pcpartpicker.com/product/sB7scf/lian-li-uni-fan-sl-v2-120-645-cfm-120-mm-fans-5-pack-uf-sl120v2-5b,120,Black,"250,2000",64.5,29.2,true
Thermalright TL-S12W,6.99,https://pcpartpicker.com/product/fw7scf/thermalright-tl-s12w-476-cfm-120-mm-fan-tl-s12w,120,White,1500,47.6,23.2,true
Thermalright TL-M12-S,8.49,https://pcpartpicker.com/product/7KLdnQ/thermalright-tl-m12-s-476-cfm-120-mm-fan-tl-m12-s,120,Black,1500,47.6,23.2,true
Phanteks D30-120,34.98,https://pcpartpicker.com/product/dWbRsY/phanteks-d30-120-643-cfm-120-mm-fan-ph-f120d30_drgb_pwm_bk01,120,Black,"250,2000",64.3,30.2,true
Corsair LL120,19.98,https://pcpartpicker.com/product/m8hj4D/corsair-ll120-rgb-led-4325-cfm-120-mm-fan-co-9050071-ww,120,Black,"600,1500",43.25,24.8,true
NZXT F120 RGB Core 3-Pack,64.99,https://pcpartpicker.com/product/97RwrH/nzxt-f120-rgb-core-7886-cfm-120-mm-fans-3-pack-rf-c12tf-b1,120,Black,"500,1800",78.86,33.88,true
Cooler Master MasterFan MF Halo 3-Pack,69.98,https://pcpartpicker.com/product/gtkgXL/cooler-master-masterfan-mf120-halo-472-cfm-120-mm-fans-3-pack-mfl-b2dn-183pa-r1,120,Black,"650,1800",47.2,"6,30",true
Lian Li UNI FAN AL120 V2 3-Pack,64,https://pcpartpicker.com/product/fskH99/lian-li-uni-fan-al120-v2-773-cfm-120-mm-fans-3-pack-al120v2-3w,120,White,"250,2000",77.3,28.7,true
Corsair iCUE LINK LX120 RGB 3-Pack,129.99,https://pcpartpicker.com/product/HdLdnQ/corsair-icue-link-lx120-rgb-699-cfm-120-mm-fans-3-pack-co-9051026-ww,120,Black,"400,2400","9.75,69.9","10,36",true
be quiet! Silent Wings 4,23.9,https://pcpartpicker.com/product/4Hytt6/be-quiet-silent-wings-4-513-cfm-140-mm-fan-bl096,140,Black,1100,51.3,13.6,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,119.99,https://pcpartpicker.com/product/PRzXsY/corsair-icue-link-qx140-rgb-starter-kit-825-cfm-140-mm-fans-2-pack-co-9051008-ww,140,White,"400,2400","12.1,82.5",,true
