name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Kingston KC3000,79.99,https://pcpartpicker.com/product/ccFbt6/kingston-kc3000-1024-tb-m2-2280-nvme-solid-state-drive-skc3000s1024g,1024,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,58.99,https://pcpartpicker.com/product/4kpzK8/silicon-power-ud90-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp01kgbp44ud9005,1000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,59.99,https://pcpartpicker.com/product/XB9wrH/teamgroup-t-force-g50-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffe001t0c129,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,27,https://pcpartpicker.com/product/dCxfrH/seagate-internal-hard-drive-st1000dm003,1000,0.027,7200,64,3.5,SATA 6.0 Gb/s
Lexar NM790,85.75,https://pcpartpicker.com/product/B8QKHx/lexar-nm790-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x001t-rnnng,1000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
VisionTek QLC,1281.99,https://pcpartpicker.com/product/yGxRsY/visiontek-qlc-8-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-901365,8000,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN770,44.99,https://pcpartpicker.com/product/nWC48d/western-digital-500-gb-m2-2280-nvme-solid-state-drive-wds500g3x0e,500,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,64.99,https://pcpartpicker.com/product/VHM48d/lexar-nm620-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm620x001t-rnnng,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,28.99,https://pcpartpicker.com/product/KQXJ7P/kingston-nv2-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s250g,250,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,179.99,https://pcpartpicker.com/product/7RQcCJ/samsung-990-pro-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0cw,2000,0.09,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
