name,price,href,chipset,memory,core_clock,boost_clock,color,length
Gigabyte GAMING OC,,https://pcpartpicker.com/product/PNvqqs/gigabyte-geforce-rtx-2080-super-8-gb-gaming-oc-video-card-gv-n208sgamingoc-white-8gd,GeForce RTX 2080 SUPER,8,1650,1845,White,286
Gigabyte AORUS MASTER,1599.99,https://pcpartpicker.com/product/y3KKHx/gigabyte-aorus-master-geforce-rtx-4080-16-gb-video-card-gv-n4080aorus-m-16gd,GeForce RTX 4080,16,2205,2550,Black,357
PNY VCG16504D6DFPPB,189.99,https://pcpartpicker.com/product/CxVmP6/pny-geforce-gtx-1650-g6-4-gb-video-card-vcg16504d6dfppb,GeForce GTX 1650 G6,4,1485,1590,Black,170
PNY RTX A-Series,,https://pcpartpicker.com/product/2HPQzy/pny-rtx-a5500-24-gb-rtx-a-series-video-card-vcnrtxa5500-pb,RTX A5500,24,1170,1695,Black,267
Gigabyte EAGLE OC,,https://pcpartpicker.com/product/cJC48d/gigabyte-eagle-oc-geforce-rtx-4070-ti-12-gb-video-card-gv-n407teagle-oc-12g,GeForce RTX 4070 Ti,12,2310,2625,Black,301
Gigabyte AORUS XTREME,,https://pcpartpicker.com/product/bd2rxr/gigabyte-geforce-gtx-1080-ti-11gb-aorus-xtreme-edition-11g-video-card-gv-n108taorus-x-11gd,GeForce GTX 1080 Ti,11,1607,1746,Black / Silver,293
MSI ARMOR,,https://pcpartpicker.com/product/N3ndnQ/msi-geforce-rtx-2070-8gb-video-card-geforce-rtx-2070-armor-8g-oc,GeForce RTX 2070,8,1410,1740,Black / Silver,309
Gigabyte AORUS XTREME,,https://pcpartpicker.com/product/wq22FT/gigabyte-geforce-rtx-2080-ti-11-gb-aorus-xtreme-video-card-gv-n208taorus-x-11gc,GeForce RTX 2080 Ti,11,1350,1770,Black,290
Zotac GAMING AMP,,https://pcpartpicker.com/product/kfWfrH/zotac-geforce-rtx-2060-6-gb-gaming-video-card-zt-t20600d-10m,GeForce RTX 2060,6,1365,1800,Silver / Black,210
Gigabyte GAMING,469.99,https://pcpartpicker.com/product/tyNypg/gigabyte-radeon-rx-570-4gb-gaming-4g-video-card-gv-rx570gaming-4gd,Radeon RX 570,4,1168,1255,Black / Orange,232
Palit Dual,499.28,https://pcpartpicker.com/product/2qRwrH/palit-dual-geforce-rtx-4060-ti-8-gb-video-card-ne6406t019p1-1060d,GeForce RTX 4060 Ti,8,2310,2535,Black,250
