name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
Intel Core i7-8700K,175,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,LGA1151
Intel Core i9-9900K,385,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,AM4
AMD Ryzen 5 3600X,190,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,6,3.8,4.4,Zen 2,95,,AM4
AMD Ryzen 7 2700X,184,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,8,3.7,4.3,Zen+,105,,AM4
AMD Ryzen 9 3900X,375,https://pcpartpicker.com/product/tLCD4D/amd-ryzen-9-3900x-36-ghz-12-core-processor-100-100000023box,12,3.8,4.6,Zen 2,105,,LGA1700
Intel Core i7-14700F,346.84,https://pcpartpicker.com/product/9jCZxr/intel-core-i7-14700f-21-ghz-20-core-processor-bx8071514700f,20,2.1,5.4,Raptor Lake Refresh,65,,LGA1151
Intel Core i7-7700K,148,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,sTRX4
AMD Threadripper 3970X,1555,https://pcpartpicker.com/product/rkwkcf/amd-threadripper-3970x-37-ghz-32-core-processor-100-100000011wof,32,3.7,4.5,Zen 2,280,,LGA775
Intel Celeron E1400,14,https://pcpartpicker.com/product/VNV48d/intel-cpu-bx80557e1400,2,2,,Core,65,,LGA1200
Intel Core i7-10700K,,https://pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,LGA1200
Intel Core i5-11400F,109.99,https://pcpartpicker.com/product/qp2WGX/intel-core-i5-11400f-26-ghz-6-core-processor-bx8070811400f,6,2.6,4.4,Rocket Lake,65,,AM4
AMD Ryzen 5 5600GT,125.49,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box,6,3.6,4.6,Zen 3,65,Radeon Vega 7,LGA1151
Intel Core i5-9400F,85,https://pcpartpicker.com/product/T47v6h/intel-core-i5-9400f-29-ghz-6-core-processor-bx80684i59400f,6,2.9,4.1,Coffee Lake Refresh,65,,LGA1200
Intel Core i3-10100F,68.7,https://pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,4,3.6,4.3,Comet Lake,65,,AM5
AMD Ryzen 5 7600X3D,,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,4.1,4.7,Zen 4,65,Radeon,AM4
AMD Ryzen 5 3400G,97.95,https://pcpartpicker.com/product/XP6qqs/amd-ryzen-5-3400g-37-ghz-quad-core-processor-ryzen-5-3400g,4,3.7,4.2,Zen+,65,Radeon Vega 11,AM5
AMD Ryzen 5 8400F,160.34,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box,6,4.2,4.7,Zen 4,65,,LGA1700
Intel Core i9-13900KF,489,https://pcpartpicker.com/product/CgkWGX/intel-core-i9-13900kf-3-ghz-24-core-processor-bx8071513900kf,24,3,5.8,Raptor Lake,125,,AM4
