name,price,href,type,efficiency,wattage,modular,color
SeaSonic FOCUS GX,166.7,https://pcpartpicker.com/product/7v3mP6/seasonic-focus-gx-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850,ATX,gold,850,Full,Black
Logisys PS480D2,16.98,https://pcpartpicker.com/product/73YXsY/logisys-power-supply-ps480d2,ATX,,480,false,
Lian Li SP850,140.41,https://pcpartpicker.com/product/gFQcCJ/lian-li-sp850-850-w-80-gold-certified-fully-modular-sfx-power-supply-sp850-white,SFX,gold,850,Full,White
SeaSonic FOCUS Plus 750 Gold,107.05,https://pcpartpicker.com/product/64cMnQ/seasonic-focus-plus-gold-750w-80-gold-certified-fully-modular-atx-power-supply-ssr-750fx,ATX,gold,750,Full,
MSI MEG Ai1300P PCIE5,309.99,https://pcpartpicker.com/product/JDGbt6/msi-meg-ai1300p-pcie5-1300-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1300p-pcie5,ATX,platinum,1300,Full,Black / Copper
Asus ROG STRIX 1000G,148.99,https://pcpartpicker.com/product/Nj3mP6/asus-rog-strix-1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-1000g,ATX,gold,1000,Full,Black
Corsair HX1200i,319.99,https://pcpartpicker.com/product/fGgrxr/corsair-hx1200i-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020281-na,ATX,platinum,1200,Full,Black
EVGA 600 W1,47.99,https://pcpartpicker.com/product/4FH48d/evga-600-w1-600-w-80-certified-atx-power-supply-100-w1-0600-k1,ATX,plus,600,false,
be quiet! Straight Power 12,199.99,https://pcpartpicker.com/product/L7CZxr/be-quiet-straight-power-12-1200-w-80-platinum-certified-fully-modular-atx-power-supply-bn339,ATX,platinum,1200,Full,Black
Asus TUF Gaming 1000G,158.99,https://pcpartpicker.com/product/wR2WGX/asus-tuf-gaming-1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s1-b0na00,ATX,gold,1000,Full,Black
SeaSonic FOCUS PLUS 850 Gold,162.78,https://pcpartpicker.com/product/jWFXsY/seasonic-focus-plus-gold-850w-80-gold-certified-fully-modular-atx-power-supply-ssr-850fx,ATX,gold,850,Full,
Corsair RM750 (2019),199,https://pcpartpicker.com/product/6Y66Mp/corsair-rm-2019-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020195-na,ATX,gold,750,Full,Black
EVGA SuperNOVA 1600 T2,589.99,https://pcpartpicker.com/product/v7PzK8/evga-supernova-1600-t2-1600-w-80-titanium-certified-fully-modular-atx-power-supply-220-t2-1600-x1,ATX,titanium,1600,Full,
be quiet! Pure Power 11,,https://pcpartpicker.com/product/t8c48d/be-quiet-pure-power-11-400-w-80-gold-certified-atx-power-supply-bn292,ATX,gold,400,false,Black
be quiet! Dark Power Pro 13,369.9,https://pcpartpicker.com/product/Hxgrxr/be-quiet-dark-power-pro-13-1600-w-80-titanium-certified-fully-modular-atx-power-supply-bn501,ATX,titanium,1600,Full,Black
Cooler Master V850 SFX GOLD,229,https://pcpartpicker.com/product/Q36qqs/cooler-master-v850-sfx-gold-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-us,SFX,gold,850,Full,Black
Silverstone SFX,107.99,https://pcpartpicker.com/product/vrH48d/silverstone-power-supply-sstsx500lg,SFX,gold,500,Full,
Thermaltake Smart BM3,74.98,https://pcpartpicker.com/product/hDQKHx/thermaltake-smart-bm3-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-spd-0750mnfabu-3,ATX,bronze,750,Semi,Black
EVGA 700 GD,79.98,https://pcpartpicker.com/product/hRJmP6/evga-700-gd-700-w-80-gold-certified-atx-power-supply-100-gd-0700-v1,ATX,gold,700,false,Black
EVGA 600 BR,64.98,https://pcpartpicker.com/product/r2TPxr/evga-600-br-600-w-80-bronze-certified-atx-power-supply-100-br-0600-k1,ATX,bronze,600,false,
SeaSonic PRIME TX-1000,,https://pcpartpicker.com/product/fKhmP6/seasonic-prime-tx-1000-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-1000,ATX,titanium,1000,Full,Black
Corsair RM1000x SHIFT,199.99,https://pcpartpicker.com/product/kDvD4D/corsair-rm1000x-shift-1000-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020275-na,ATX,gold,1000,Full / Side,White
PowerSpec PS 650BF,54.48,https://pcpartpicker.com/product/4xhKHx/powerspec-650-w-80-bronze-certified-atx-power-supply-ps-650bf,ATX,bronze,650,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,89.99,https://pcpartpicker.com/product/9GLdnQ/thermaltake-toughpower-gf-a3-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-l,ATX,gold,750,Full,Black
SeaSonic FOCUS Plus Gold,151.72,https://pcpartpicker.com/product/yTMwrH/seasonic-focus-plus-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-ssr-1000fx,ATX,gold,1000,Full,Black
Lian Li EDGE,164.99,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,ATX,platinum,1000,Full,Black
Deepcool PK650D,,https://pcpartpicker.com/product/GBjRsY/deepcool-pk650d-650-w-80-bronze-certified-atx-power-supply-r-pk650d-fa0b-us,ATX,bronze,650,false,Black
EVGA 750 N1,74.87,https://pcpartpicker.com/product/RnNypg/evga-750-n1-750-w-atx-power-supply-100-n1-0750-l1,ATX,,750,false,
Asus ROG Strix Aura Edition,209.99,https://pcpartpicker.com/product/vWvD4D/asus-rog-strix-aura-edition-1000-w-80-gold-certified-fully-modular-atx-power-supply-90ye00p5-b0na00,ATX,gold,1000,Full,White
EVGA 500 BR,70.93,https://pcpartpicker.com/product/kCtQzy/evga-500-br-500-w-80-bronze-certified-atx-power-supply-100-br-0500-k1,ATX,bronze,500,false,
Asus ROG LOKI,164.99,https://pcpartpicker.com/product/QPM48d/asus-rog-loki-750-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n4-b0na00,SFX,platinum,750,Full,Black / Silver
EVGA 850 BQ,69.98,https://pcpartpicker.com/product/kGL7YJ/evga-850-bq-850-w-80-bronze-certified-semi-modular-atx-power-supply-110-bq-0850-v1,ATX,bronze,850,Semi,
Apevia Prestige,66.98,https://pcpartpicker.com/product/GsNgXL/apevia-prestige-800-w-80-gold-certified-atx-power-supply-atx-rp800w,ATX,gold,800,false,Black
Corsair RM1200x SHIFT,209.99,https://pcpartpicker.com/product/LMn9TW/corsair-rm1200x-shift-1200-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020254-na,ATX,gold,1200,Full / Side,Black
be quiet! Dark Power Pro 13,329.9,https://pcpartpicker.com/product/hMCZxr/be-quiet-dark-power-pro-13-1300-w-80-titanium-certified-fully-modular-atx-power-supply-bn500,ATX,titanium,1300,Full,Black
EVGA 650 N1,53.99,https://pcpartpicker.com/product/QKNypg/evga-650-n1-650-w-atx-power-supply-100-n1-0650-l1,ATX,,650,false,
Asus Prime AP-750G,109.99,https://pcpartpicker.com/product/zm7scf/asus-prime-ap-750g-750-w-80-gold-certified-fully-modular-atx-power-supply-ap-750g,ATX,gold,750,Full,White / Black
Corsair HX1200 Platinum,405,https://pcpartpicker.com/product/f7L7YJ/corsair-hx-platinum-1200w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020140-na,ATX,platinum,1200,Full,
Corsair RM850x SHIFT,144.99,https://pcpartpicker.com/product/MgYmP6/corsair-rm850x-shift-850-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020252-na,ATX,gold,850,Full / Side,Black
Lian Li EDGE,,https://pcpartpicker.com/product/6X4Zxr/lian-li-edge-1300-w-80-platinum-certified-fully-modular-atx-power-supply-eg1300-white,ATX,platinum,1300,Full,White
Corsair CX550M (2021),,https://pcpartpicker.com/product/9HTp99/corsair-cx550m-2021-550-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020220-na,ATX,bronze,550,Semi,Black
Raidmax XT,30.99,https://pcpartpicker.com/product/qbjWGX/raidmax-power-supply-rx400xt,ATX,,400,false,
Cooler Master MWE Bronze V2,,https://pcpartpicker.com/product/qJpmP6/cooler-master-mwe-bronze-v2-650-w-80-bronze-certified-atx-power-supply-mpe-6501-acaab-us,ATX,bronze,650,false,Black
SeaSonic PRIME TX,,https://pcpartpicker.com/product/tFvdnQ/seasonic-prime-tx-1600-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-1600,ATX,titanium,1600,Full,Black / Silver
Gigabyte UD1000GM,119.99,https://pcpartpicker.com/product/bKTp99/gigabyte-ud1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud1000gm,ATX,gold,1000,Full,Black
EVGA 750 GQ,89.1,https://pcpartpicker.com/product/rt8H99/evga-750-gq-750-w-80-gold-certified-semi-modular-atx-power-supply-210-gq-0750,ATX,gold,750,Semi,
Azza PSAZ-550W,54.75,https://pcpartpicker.com/product/JQvD4D/azza-psaz-550w-550-w-80-bronze-certified-atx-power-supply-psaz-550w,ATX,bronze,550,false,Black
Thermaltake Toughpower GF3 Snow,179.99,https://pcpartpicker.com/product/h6P8TW/thermaltake-toughpower-gf3-snow-1200-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1200fnfagu-n,ATX,gold,1200,Full,White
Corsair RM1000x,232.98,https://pcpartpicker.com/product/Vq38TW/corsair-power-supply-cp9020094na,ATX,gold,1000,Full,
SeaSonic S12III,69,https://pcpartpicker.com/product/Rxprxr/seasonic-s12iii-650-w-80-bronze-certified-atx-power-supply-ssr-650gb3,ATX,bronze,650,false,Black
Corsair RM1000x SHIFT,189.99,https://pcpartpicker.com/product/NrxxFT/corsair-rm1000x-shift-1000-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020253-na,ATX,gold,1000,Full / Side,Black
EVGA 700 BR,71.98,https://pcpartpicker.com/product/2gprxr/evga-700-br-700-w-80-bronze-certified-atx-power-supply-100-br-0700-k1,ATX,bronze,700,false,
SeaSonic FOCUS GX,96.99,https://pcpartpicker.com/product/RzfFf7/seasonic-focus-gx-650-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-650,ATX,gold,650,Full,Black
SeaSonic FOCUS GX-750 ATX 3.0,159.99,https://pcpartpicker.com/product/2gCZxr/seasonic-focus-gx-750-atx-30-750-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-750,ATX,gold,750,Full,Black
Cooler Master V750 SFX GOLD,,https://pcpartpicker.com/product/vr9tt6/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-us,SFX,gold,750,Full,Black
