name,price,href,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Vulcan 32 GB,95.99,https://pcpartpicker.com/product/HNZXsY/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-flbd532g6000hc30dc01,"5,6000","2,16",3,Black,10,30
Lexar THOR OC 32 GB,98.99,https://pcpartpicker.com/product/xtqrxr/lexar-thor-oc-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-ld5u16g60c32lg-rud,"5,6000","2,16",3.093,Black / Gold,10.667,32
TEAMGROUP T-Force Delta RGB 16 GB,43.99,https://pcpartpicker.com/product/7Wytt6/team-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tf3d416g3600hc18jdc01,"4,3600","2,8",2.749,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,96.99,https://pcpartpicker.com/product/hNZ9TW/team-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6400-cl40-memory-ff4d532g6400hc40bdc01,"5,6400","2,16",3.031,White,12.5,40
G.Skill Trident Z5 RGB 96 GB,389.99,https://pcpartpicker.com/product/xb26Mp/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6800-cl34-memory-f5-6800j3446f48gx2-tz5rk,"5,6800","2,48",4.062,Black,10,34
Kingston FURY Beast 8 GB,26.05,https://pcpartpicker.com/product/PkbTwP/kingston-fury-beast-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-kf432c16bb8,"4,3200","1,8",3.256,Black,10,16
G.Skill Trident Z Neo 32 GB,77.98,https://pcpartpicker.com/product/w3FKHx/gskill-trident-z-neo-32-gb-2-x-16-gb-ddr4-3600-cl16-memory-f4-3600c16d-32gtznc,"4,3600","2,16",2.437,Black / Silver,8.889,16
Corsair Vengeance 128 GB,419.99,https://pcpartpicker.com/product/HKn9TW/corsair-vengeance-128-gb-4-x-32-gb-ddr5-5600-cl40-memory-cmk128gx5m4b5600c40,"5,5600","4,32",3.281,Black,14.286,40
Crucial Pro 32 GB,94.91,https://pcpartpicker.com/product/3L9wrH/crucial-pro-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-cp2k16g56c46u5,"5,5600","2,16",2.966,Black,16.429,46
G.Skill Aegis 32 GB,52.99,https://pcpartpicker.com/product/8BLwrH/gskill-aegis-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gis,"4,3200","2,16",1.656,Red / Black,10,16
Corsair Dominator Titanium 96 GB,409.99,https://pcpartpicker.com/product/ZsvD4D/corsair-dominator-titanium-96-gb-2-x-48-gb-ddr5-6600-cl32-memory-cmp96gx5m2b6600c32,"5,6600","2,48",4.271,Black,9.697,32
Patriot Viper Venom 16 GB,49.99,https://pcpartpicker.com/product/rPC48d/patriot-viper-venom-16-gb-2-x-8-gb-ddr5-5200-cl36-memory-pvv516g520c36k,"5,5200","2,8",3.124,Black / White,13.846,36
