name,price,href,rpm,noise_level,color,size
be quiet! Dark Rock Pro 4,89.9,https://pcpartpicker.com/product/F3gzK8/be-quiet-dark-rock-pro-4-505-cfm-cpu-cooler-bk022,1500,"12.8,24.3",Black,
NZXT T120 RGB,44.99,https://pcpartpicker.com/product/MXTp99/nzxt-t120-rgb-5018-cfm-cpu-cooler-rc-tr120-b1,"500,1800","17.2,27.5",Black,
be quiet! Dark Rock 4,85.32,https://pcpartpicker.com/product/FRYLrH/be-quiet-dark-rock-4-cpu-cooler-bk021,1400,,Black,
ARCTIC Liquid Freezer III 240 A-RGB,87.77,https://pcpartpicker.com/product/wTxxFT/arctic-liquid-freezer-iii-240-a-rgb-4882-cfm-liquid-cpu-cooler-acfre00142a,"200,2000",,Black,240
Deepcool LT720,,https://pcpartpicker.com/product/6Hwypg/deepcool-lt720-8585-cfm-liquid-cpu-cooler-r-lt720-bkamnf-g-1,"500,2250",32.9,Black / Gray,360
Thermalright Assassin X Refined SE ARGB,19.29,https://pcpartpicker.com/product/vHH7YJ/thermalright-assassin-x-refined-se-argb-6617-cfm-cpu-cooler-ax120-se-argb-white-d2,1550,25.6,White / Silver,
Noctua NH-D9L,64.95,https://pcpartpicker.com/product/8pgPxr/noctua-nh-d9l-4644-cfm-cpu-cooler-nh-d9l,"400,2000","16.3,22.8",,
Noctua NH-L9i-17xx chromax.black,54.95,https://pcpartpicker.com/product/nJqPxr/noctua-nh-l9i-17xx-chromaxblack-3384-cfm-cpu-cooler-nh-l9i-17xx-chromaxblack,"600,2500","14.8,23.6",Black,
Corsair iCUE H100i ELITE CAPELLIX XT,154.99,https://pcpartpicker.com/product/bjXV3C/corsair-icue-h100i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060068-ww,"550,2100","5,34.1",Black,240
Noctua NH-L9i chromax.black,54.95,https://pcpartpicker.com/product/vbLwrH/noctua-nh-l9i-chromaxblack-3384-cfm-cpu-cooler-nh-l9i-chromaxblack,"600,2500","14.8,23.6",Black,
Noctua NH-D15 G2,149.94,https://pcpartpicker.com/product/8c88TW/noctua-nh-d15-g2-9158-cfm-cpu-cooler-nh-d15-g2,1500,24.8,Brown / Silver,
MSI MAG CORELIQUID 360R V2,120.99,https://pcpartpicker.com/product/bnPQzy/msi-mag-coreliquid-360r-v2-7873-cfm-liquid-cpu-cooler-mag-coreliquid-360r-v2,"500,2000","14.3,34.3",Black,360
NZXT T120 RGB,48.49,https://pcpartpicker.com/product/wDD7YJ/nzxt-t120-rgb-5018-cfm-cpu-cooler-rc-tr120-w1,"500,1800","17.2,27.5",White,
Deepcool AK620 DIGITAL,,https://pcpartpicker.com/product/697scf/deepcool-ak620-digital-6899-cfm-cpu-cooler-r-ak620-bkadmn-g,"500,1850",28,Black,
Cooler Master Hyper 212 RGB Black Edition,56.99,https://pcpartpicker.com/product/WHH7YJ/cooler-master-hyper-212-rgb-black-edition-59-cfm-cpu-cooler-rr-212s-20pc-r2,"650,2000","8,30",,
Thermalright Aqua Elite V3,,https://pcpartpicker.com/product/YXFmP6/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-white-v3,1500,25.6,White,360
EK Nucleus AIO CR240 Dark,99.99,https://pcpartpicker.com/product/wKXV3C/ek-nucleus-aio-cr240-dark-72-cfm-liquid-cpu-cooler-3831109900185,"550,2300",36,Black,240
Vetroo V5,27.99,https://pcpartpicker.com/product/qRKKHx/vetroo-v5-52-cfm-cpu-cooler-vt-cpu-v5,"800,1700",30.8,Black,
Cooler Master Hyper 212 Halo,30.49,https://pcpartpicker.com/product/JRBzK8/cooler-master-hyper-212-halo-5188-cfm-cpu-cooler-rr-s4kk-20pa-r1,"650,2050",27,Black,
Cooler Master MasterLiquid ML240L ARGB V2,54.99,https://pcpartpicker.com/product/zNbTwP/cooler-master-masterliquid-ml240l-argb-v2-62-cfm-liquid-cpu-cooler-mlw-d24m-a18pw-rw,"650,1800","8,27",White,240
Thermalright Assassin Spirit V2,,https://pcpartpicker.com/product/fhFmP6/thermalright-assassin-spirit-v2-6617-cfm-cpu-cooler-as120-v2,1500,25.6,Gray,
