name,price,href,rpm,noise_level,color,size
ID-COOLING FX360 ARGB,,https://pcpartpicker.com/product/8tYRsY/id-cooling-fx360-argb-7616-cfm-liquid-cpu-cooler-fx360-argb-white,"500,1800",35.2,White,360
ID-COOLING IS-65-XT,,https://pcpartpicker.com/product/w2MMnQ/id-cooling-is-65-xt-6758-cfm-cpu-cooler-is-65-xt-black,"500,2200",32.3,Black,
ID-COOLING SE-213X-R,,https://pcpartpicker.com/product/dVQKHx/id-cooling-se-213x-r-615-cfm-cpu-cooler-se-213x-r,"500,1800",28,Black / Red,
TRYX PANORAMA ARGB,,https://pcpartpicker.com/product/tg88TW/tryx-panorama-argb-9029-cfm-liquid-cpu-cooler-l-p280a-as2m-g0k,"500,1450",27.07,Black,280
ID-COOLING SE-206-XT,,https://pcpartpicker.com/product/b9ZXsY/id-cooling-se-206-xt-7616-cfm-cpu-cooler-se-206-xt,"700,1800",35.2,Black / Silver,
Cooler Master RR-LEE-L911-GP,29.99,https://pcpartpicker.com/product/Yqzv6h/cooler-master-cpu-cooler-rrleel911gp,2200,17,,
Thermaltake CLP0587,74.98,https://pcpartpicker.com/product/yP4gXL/thermaltake-cpu-cooler-clp0587,"1200,1800",39,,
Zalman Reserator 3 MAX,,https://pcpartpicker.com/product/vpfp99/zalman-reserator-3-max-liquid-cpu-cooler-reserator-3-max,"1000,2200","18.89,36.7",,120
Dynatron K17,41.95,https://pcpartpicker.com/product/RH6BD3/dynatron-cpu-cooler-k17,"1000,2500","17,31.92",,
Cooler Master MasterLiquid Mirror,,https://pcpartpicker.com/product/3jxRsY/cooler-master-masterliquid-mirror-62-cfm-liquid-cpu-cooler-mlx-d36m-a18pk-t1,"650,1800","8,27",,360
Cooler Master RR-H101-22FK-RI,,https://pcpartpicker.com/product/LjV48d/cooler-master-cpu-cooler-rrh10122fkri,2200,22,,
Cooler Master V6 GT,,https://pcpartpicker.com/product/nMtCmG/cooler-master-cpu-cooler-rrv6gt22pkr1,"800,2200","15,38",,
Cooler Master S2N-PLMHS-07-GP,,https://pcpartpicker.com/product/vvyFf7/cooler-master-cpu-cooler-s2nplmhs07gp,,0,,
Dynatron T195,,https://pcpartpicker.com/product/DTckcf/dynatron-cpu-cooler-t195,"1000,5000","20.5,49.8",,
Dynatron T860,,https://pcpartpicker.com/product/MrjG3C/dynatron-cpu-cooler-t860,"2000,6000","20.23,44.88",,
Thermaltake CL-P0497,,https://pcpartpicker.com/product/VZTmP6/thermaltake-cpu-cooler-clp0497,2500,27,,
Thermaltake CLP0579,,https://pcpartpicker.com/product/Phckcf/thermaltake-cpu-cooler-clp0579,"800,2000","15,33.2",,
Thermaltake CLP0574,,https://pcpartpicker.com/product/V8g323/thermaltake-cpu-cooler-clp0574,"800,1300",16,,
Zalman CNPS7000C-Cu,,https://pcpartpicker.com/product/KDg323/zalman-cpu-cooler-cnps7000ccu,"1700,2400","13.5,24",,
Zalman CNPS9900NT,,https://pcpartpicker.com/product/mBn2FT/zalman-cpu-cooler-cnps9900nt,"1000,2000","19.5,38",,
Rosewill RCX-Z1,,https://pcpartpicker.com/product/CK9KHx/rosewill-cpu-cooler-rcxz1,"1700,3100","18,33.4",,
Rosewill RCX-Z775-LP,,https://pcpartpicker.com/product/ZjV48d/rosewill-cpu-cooler-rcxz775lp,"600,2600","16,24.5",,
Rosewill RCX-ZAIO-92,,https://pcpartpicker.com/product/pFNp99/rosewill-cpu-cooler-rcxzaio92,"600,2500","14.5,25",,
Scythe SCMG-2100,,https://pcpartpicker.com/product/hZTmP6/scythe-cpu-cooler-scmg2100,,26.5,,
Silverstone NT07-775,,https://pcpartpicker.com/product/zGTmP6/silverstone-cpu-cooler-nt07775,"1200,1800","15,23",,
Xigmatek HDT-S1283,,https://pcpartpicker.com/product/GRPfrH/xigmatek-cpu-cooler-hdts1283,"800,1500","20,32",,
ZEROtherm Nirvana NV120 PWM,,https://pcpartpicker.com/product/VXrG3C/zerotherm-cpu-cooler-nirvananv120pwm,"900,1800",30,,
ZEROtherm ZT-10D,,https://pcpartpicker.com/product/ZTckcf/zerotherm-cpu-cooler-zt10d,,0,,
ZEROtherm ZT-10D Smart,,https://pcpartpicker.com/product/vXrG3C/zerotherm-cpu-cooler-zt10dsmart,,,,
ZEROtherm ZT-560D,,https://pcpartpicker.com/product/8kBv6h/zerotherm-cpu-cooler-zt560d,"900,2300",30,,
Xigmatek HDT-S1284F,,https://pcpartpicker.com/product/WZbp99/xigmatek-cpu-cooler-hdts1284f,"800,1500","16,24",,
Cooler Master DI5-9HDSC-A1-GP,,https://pcpartpicker.com/product/mNbp99/cooler-master-cpu-cooler-di59hdsca1gp,2200,23.8,,
Thermaltake Frio OCK,,https://pcpartpicker.com/product/p3YXsY/thermaltake-cpu-cooler-clp0575,"1200,2100","21,48",,
Thermaltake CL-P0101,,https://pcpartpicker.com/product/DzV48d/thermaltake-cpu-cooler-clp0101,"600,3700","15,46.5",,
Scythe SCKZT-1000,,https://pcpartpicker.com/product/nJ3RsY/scythe-cpu-cooler-sckzt1000,"800,3300","8.2,32.5",,
Gelid Solutions Rev. 1 Tranquillo,,https://pcpartpicker.com/product/TKtCmG/gelid-solutions-cpu-cooler-cctranq01a,"750,1500","12,25.5",,
Logisys MC3001IE,,https://pcpartpicker.com/product/g7Np99/logisys-cpu-cooler-mc3001ie,"900,2200","17.8,34.6",,
Scythe SCMG-3000,,https://pcpartpicker.com/product/n4Lypg/scythe-cpu-cooler-scmg3000,"300,1600",26.5,,
Enermax ETS-T40-TA,,https://pcpartpicker.com/product/jWh9TW/enermax-cpu-cooler-etst40ta,"800,1800","16,21",,
Zalman CNPS12X,,https://pcpartpicker.com/product/vHyFf7/zalman-cpu-cooler-cnps12x,"850,1200","22,24",,
Zalman CNPS7700ALCULED,,https://pcpartpicker.com/product/ZJrG3C/zalman-cpu-cooler-cnps7700alculed,"1000,2000","22.7,37.1",,
SilenX EFZ-120HA4,,https://pcpartpicker.com/product/PmMFf7/silenx-cpu-cooler-efz120ha4,"800,2000","8,28",,
Logisys IC231PWM,,https://pcpartpicker.com/product/jwsKHx/logisys-cpu-cooler-ic231pwm,"900,2400","17.8,32.5",,
Logisys MC4001IM,,https://pcpartpicker.com/product/Kfbp99/logisys-cpu-cooler-mc4001im,"500,1500","17.8,27.6",,
Logisys MC6002GS,,https://pcpartpicker.com/product/k96BD3/logisys-cpu-cooler-mc6002gs,"500,1500","17.6,27.6",,
Logisys IC221PWM,,https://pcpartpicker.com/product/ykMFf7/logisys-cpu-cooler-ic221pwm,"900,2400","17.8,26.4",,
Logisys MC2001IE,,https://pcpartpicker.com/product/dmsKHx/logisys-cpu-cooler-mc2001ie,2200,23.4,,
Phanteks PH-TC14PE_OR,,https://pcpartpicker.com/product/QNMFf7/phanteks-cpu-cooler-phtc14peor,"700,1200","13.4,19",,
Cooler Master X6 Elite,,https://pcpartpicker.com/product/PqvRsY/cooler-master-cpu-cooler-rrx6nn18pkr1,"600,1800","9,34.6",,
Thermaltake Contac 16,,https://pcpartpicker.com/product/w3xfrH/thermaltake-cpu-cooler-clp0598,2400,30,,
Masscool 7WA868,,https://pcpartpicker.com/product/nqtCmG/masscool-cpu-cooler-7wa868,"800,2800","19,27",,
Masscool 8W2002F1M4,,https://pcpartpicker.com/product/zCTmP6/masscool-cpu-cooler-8w2002f1m4,"800,2800","20,34",,
SilenX EFZ-120HA5,,https://pcpartpicker.com/product/YfW9TW/silenx-cpu-cooler-efz120ha5,1600,"8,24",,
Prolimatech PRO-MGH-B,,https://pcpartpicker.com/product/TBCwrH/prolimatech-cpu-cooler-promghb,,,,
Scythe SCKTN-4000,,https://pcpartpicker.com/product/Ynfp99/scythe-scktn-4000-5555-cfm-cpu-cooler-scktn-4000,"300,2500","7.2,31.07",,
Xigmatek ld964,,https://pcpartpicker.com/product/j7xfrH/xigmatek-cpu-cooler-ld964,"1000,2800",22,,
Dynatron R4,,https://pcpartpicker.com/product/KWphP6/dynatron-cpu-cooler-r4,,,,
Dynatron R22,,https://pcpartpicker.com/product/qTLypg/dynatron-cpu-cooler-r22,,,,
Phanteks PH-TC12DX_RD,,https://pcpartpicker.com/product/VXDwrH/phanteks-cpu-cooler-phtc12dxrd,"600,1800","21.9,27.6",,
ARCTIC Alpine 7 Pro,,https://pcpartpicker.com/product/W6JwrH/arctic-cooling-cpu-cooler-a7p75000023,"500,2000",,,
Zalman LQ-310,,https://pcpartpicker.com/product/Lc8Zxr/zalman-lq-310-liquid-cpu-cooler-lq-310,"900,2000",,,120
Zalman CNPS7000V(AL)-1-PWM,,https://pcpartpicker.com/product/CYkD4D/zalman-cpu-cooler-cnps7000val1pwm,"800,2600","20,32",,
Titan TTC-NC55TZ/RB,,https://pcpartpicker.com/product/GkphP6/titan-cpu-cooler-ttcnc55tzrb,"1800,2200","28.8,38",,
Titan TTC-NA43TZ/CU35,,https://pcpartpicker.com/product/MFvRsY/titan-cpu-cooler-ttcna43tzcu35,"900,2600","14,33",,
Phanteks PH-TC12DX_BL,,https://pcpartpicker.com/product/vG9KHx/phanteks-cpu-cooler-phtc12dxbl,"600,1800","21.9,27.6",,
Thermalright Silver Arrow Extreme,,https://pcpartpicker.com/product/2x8Zxr/thermalright-silver-arrow-extreme-130-cfm-cpu-cooler-silver-arrow-sb-e-extreme,"600,2500","21,45",,
Swiftech H220,,https://pcpartpicker.com/product/Gr4gXL/swiftech-h220-55-cfm-liquid-cpu-cooler-h220,"1200,3000","16,33",,240
Cooler Master Eisberg 120L Prestige,,https://pcpartpicker.com/product/qVjG3C/cooler-master-eisberg-120l-prestige-602-cfm-liquid-cpu-cooler-rl-eb12-16fk-r1,1600,20.5,,120
Cooler Master RR-T612-20PK-R1,,https://pcpartpicker.com/product/gKfp99/cooler-master-cpu-cooler-rrt61220pkr1,2000,"9,36",,
Silverstone TD03,,https://pcpartpicker.com/product/6hV48d/silverstone-td03-925-cfm-liquid-cpu-cooler-td03,"1500,2500","16,33.5",,120
Zalman CNPS90F,,https://pcpartpicker.com/product/zYMFf7/zalman-cpu-cooler-cnps90f,2300,29,,
Enermax ETS-T40-BK,,https://pcpartpicker.com/product/pKW9TW/enermax-cpu-cooler-etst40bk,"800,1800","16,26",,
Swiftech H320,,https://pcpartpicker.com/product/BR2kcf/swiftech-h320-55-cfm-liquid-cpu-cooler-h320,"800,1800","16,33",,360
Thermalright TS-120M(BW),,https://pcpartpicker.com/product/VDGkcf/thermalright-cpu-cooler-ts120mbw,"600,1300",24.5,,
Scythe SCKC-3000,,https://pcpartpicker.com/product/xzqdnQ/scythe-cpu-cooler-sckc3000,"500,1300","13,30.7",,
Xigmatek Praeton LD963,,https://pcpartpicker.com/product/w9bp99/xigmatek-cpu-cooler-cacd9hh3u01,"1200,2800",22,,
Cooler Master Glacer 240L,,https://pcpartpicker.com/product/rmYXsY/cooler-master-glacer-240l-8615-cfm-liquid-cpu-cooler-rl-g24l-24pk-r1,2400,"19,40.33",,240
Thermalright HR-02 Rev.A(BW),,https://pcpartpicker.com/product/MtjG3C/thermalright-cpu-cooler-hro2revabw,"900,1300","17,21",,
Thermalright Macho-120,,https://pcpartpicker.com/product/Dg2kcf/thermalright-macho-120-736-cfm-cpu-cooler-macho-120,"900,1300","17,21",,
Gelid Solutions Siberian Pro,,https://pcpartpicker.com/product/Dk4gXL/gelid-solutions-siberian-pro-6834-cfm-cpu-cooler-cc-siberianp-01,"900,2200","10,23.5",,
Enermax Liqtech 120X,,https://pcpartpicker.com/product/Nk4gXL/enermax-liqtech-120x-111-cfm-ball-bearing-liquid-cpu-cooler-elc-lt120x-hp,"600,2500","15,30",,120
Enermax Liqtech 240,,https://pcpartpicker.com/product/NpZQzy/enermax-liqtech-240-111-cfm-liquid-cpu-cooler-elc-lt240-hp,2500,30,,240
Enermax ETS-N30-HE,,https://pcpartpicker.com/product/shn2FT/enermax-cpu-cooler-etsn30he,"800,2800","16,28",,
Zalman CNPS7000-AlCu,,https://pcpartpicker.com/product/QQFPxr/zalman-cpu-cooler-cnps7000alcu,"1350,2400","17,24",,
RAIJINTEK EreBoss,,https://pcpartpicker.com/product/6Rfp99/raijintek-cpu-cooler-0p105250,"600,1400",28,,
RAIJINTEK TISIS,,https://pcpartpicker.com/product/BZn2FT/raijintek-tisis-702-cfm-sleeve-bearing-cpu-cooler-0r100001,"600,1000",23,,
RAIJINTEK ZELOS,,https://pcpartpicker.com/product/ZfK7YJ/raijintek-cpu-cooler-0r100003,"800,1400",20,,
RAIJINTEK RHEA,,https://pcpartpicker.com/product/zNJwrH/raijintek-cpu-cooler-0r100005,"800,2200",27.9,,
Zalman Reserator 3 MAX Dual,,https://pcpartpicker.com/product/dhn2FT/zalman-reserator-3-max-dual-liquid-cpu-cooler-reserator-3-max-dual,"1000,2300","23.2,46.6",,240
Zero Infinity Shiva,,https://pcpartpicker.com/product/DnkD4D/zero-infinity-cpu-cooler-shi001pb,2200,,,
Scythe Ashura Shadow,,https://pcpartpicker.com/product/hxh9TW/scythe-cpu-cooler-scasr1000se,"500,1300","13,30.7",,
Deepcool FROSTWIN V2.0,,https://pcpartpicker.com/product/vkkD4D/deepcool-cpu-cooler-frostwinv20,1600,"17.8,21",,
Deepcool GABRIEL,,https://pcpartpicker.com/product/sxh9TW/deepcool-gabriel-6193-cfm-cpu-cooler-gabriel,"900,1800","18.2,32.4",,
Deepcool LUCIFER,,https://pcpartpicker.com/product/mj8Zxr/deepcool-cpu-cooler-lucifer,"700,1400","17.8,31.1",,
Deepcool CAPTAIN 120,,https://pcpartpicker.com/product/LfrcCJ/deepcool-captain-120-9112-cfm-liquid-cpu-cooler-captain-120,"600,2200","17.6,39.29",,120
RAIJINTEK TRITON RED,,https://pcpartpicker.com/product/qJ7CmG/raijintek-triton-red-10046-cfm-sleeve-bearing-liquid-cpu-cooler-0r100020,"1000,2600","21.6,36.6",,240
RAIJINTEK TRITON BLUE,,https://pcpartpicker.com/product/KLrcCJ/raijintek-triton-blue-10046-cfm-sleeve-bearing-liquid-cpu-cooler-0r100021,"1000,2600","21.6,36.6",,240
Thermaltake CL-P008-AL09WT-A,,https://pcpartpicker.com/product/6gX2FT/thermaltake-cpu-cooler-clp008al09wta,1800,21,,
Akasa Venom Medusa,,https://pcpartpicker.com/product/8998TW/akasa-cpu-cooler-akcc4010hp01,"500,1600","6.9,28.9",,
Fractal Design Kelvin S24,,https://pcpartpicker.com/product/4vKhP6/fractal-design-kelvin-s24-624-cfm-liquid-cpu-cooler-fd-wcu-kelvin-s24-bk,"800,1700",26.9,,240
LEPA AquaChanger 120,,https://pcpartpicker.com/product/DLkwrH/lepa-aquachanger-120-1036-cfm-liquid-cpu-cooler-lpwac120-hf,"500,2300","14,35",,120
Zalman CNPS9300 AT,,https://pcpartpicker.com/product/Cqzv6h/zalman-cpu-cooler-cnps9300at,"1500,2400","20,30",,
Cooler Master Glacer 240L Ver. 2,,https://pcpartpicker.com/product/f6hj4D/cooler-master-glacer-240l-ver-2-8615-cfm-liquid-cpu-cooler-rl-g24l-24pk-r2,2400,"19,40.33",,240
Evercool TRANSFORMER S,,https://pcpartpicker.com/product/YpgPxr/evercool-cpu-cooler-hpn9525,2200,20,,
Xigmatek Apache II,,https://pcpartpicker.com/product/Xhqbt6/xigmatek-cpu-cooler-apacheepcd903,"1200,2500",28,,
Cooler Master GeminII S524 Ver 2,,https://pcpartpicker.com/product/7XH48d/cooler-master-cpu-cooler-rrg5v220pkr1,2000,22,,
Xigmatek Dark Knight SD1483 Night Hawk,,https://pcpartpicker.com/product/p298TW/xigmatek-cpu-cooler-en6602,"800,1200",18,,
Enermax Liqmax II 120,,https://pcpartpicker.com/product/GGGj4D/enermax-liqmax-ii-120-96-cfm-liquid-cpu-cooler-elc-lmr120s-bs,"500,2000","16,35",,120
SilentiumPC Spartan LT HE922,,https://pcpartpicker.com/product/Zb8H99/silentiumpc-cpu-cooler-spc091,"800,2000","9.9,21.9",,
Scythe SCNJ-4000,,https://pcpartpicker.com/product/RZfmP6/scythe-cpu-cooler-scnj4000,"300,1500","4,29.5",,
Thermalright TRUE Spirit 140 (BW),,https://pcpartpicker.com/product/L9Nypg/thermalright-true-spirit-140-bw-736-cfm-cpu-cooler-true-spirit-140-bw,"300,1300","15,21",,
Enermax ETS-T40F-BK,,https://pcpartpicker.com/product/MPnG3C/enermax-cpu-cooler-etst40fbk,"800,1800","16,26",,
Enermax ETS-T40F-RF,,https://pcpartpicker.com/product/GvWrxr/enermax-cpu-cooler-etst40frf,"500,1200","10,19",,
Gelid Solutions Polar,,https://pcpartpicker.com/product/DZZ2FT/gelid-solutions-cpu-cooler-ccpolar01,"1400,2000","16,28.9",,
Cooler Master X6,,https://pcpartpicker.com/product/TkX2FT/cooler-master-cpu-cooler-rrx6nn19prr1,"600,1900","8,27",,
Thermalright AXP-100 Muscle,,https://pcpartpicker.com/product/2HzZxr/thermalright-axp-100-muscle-445-cfm-cpu-cooler-axp-100-muscle,"900,2500","22,30",,
ID-COOLING DK-01,,https://pcpartpicker.com/product/WhkwrH/id-cooling-cpu-cooler-dk01,"800,2500","12,28.8",,
ID-COOLING SE-214,,https://pcpartpicker.com/product/fbKhP6/id-cooling-cpu-cooler-se214,1800,"16.2,29.2",,
ID-COOLING SE-902,,https://pcpartpicker.com/product/zDqbt6/id-cooling-cpu-cooler-se902,"600,2200","14,23.8",,
Deepcool CAPTAIN 120 WHITE,,https://pcpartpicker.com/product/rbKhP6/deepcool-captain-120-white-9112-cfm-liquid-cpu-cooler-captain120white,"600,2200","17.6,39.29",,120
Reeven Chrono Guard,,https://pcpartpicker.com/product/vWtWGX/reeven-rc-0902-555-cfm-sleeve-bearing-cpu-cooler-rc-0902,"300,2500","7.2,31.1",,
Reeven Hans,,https://pcpartpicker.com/product/Pn648d/reeven-hans-821-cfm-sleeve-bearing-cpu-cooler-rc-1205,"300,1500","4,29.8",,
Thermaltake Riing Silent 12 Pro Blue,,https://pcpartpicker.com/product/F4M323/thermaltake-cl-p021-ca12bu-a-530-cfm-cpu-cooler-cl-p021-ca12bu-a,"300,1400","12,19",,
Phononic HEX 2.0,,https://pcpartpicker.com/product/q4Nypg/phononic-hex-20-440-cfm-cpu-cooler-hex20,"1000,2650","17,33",,
RIOTORO BIFROST 240,,https://pcpartpicker.com/product/GXcMnQ/riotoro-bifrost-240-liquid-cpu-cooler-bifrost-240,,,,240
Gelid Solutions Rev. 3 Tranquillo,,https://pcpartpicker.com/product/W8DzK8/gelid-solutions-rev-3-tranquillo-635-cfm-cpu-cooler-cc-tranq-03-a,"750,1500","12,26.5",,
Cooltek LP53,,https://pcpartpicker.com/product/xqjWGX/cooltek-lp53-cpu-cooler-lp53,"1000,2100","16,27.1",,
Enermax LiqTech TR4 240,,https://pcpartpicker.com/product/KHdFf7/enermax-liqtech-tr4-240-10217-cfm-liquid-cpu-cooler-elc-lttr240-tbp,"500,2300","14,28",,240
ARCTIC Freezer 12 CO,,https://pcpartpicker.com/product/7d38TW/arctic-freezer-12-co-cpu-cooler-acfre00030a,,22.5,,
Scythe Kabuto 3,,https://pcpartpicker.com/product/mGs8TW/scythe-kabuto-3-79-cfm-cpu-cooler-sckbt-3000,"300,1400","4,28",,
Enermax ETS-N30R-TAA,,https://pcpartpicker.com/product/CPX2FT/enermax-ets-n30r-taa-508-cfm-cpu-cooler-ets-n30r-taa,"800,2800","16,27",,
Zalman CNPS8X Optima,,https://pcpartpicker.com/product/D78H99/zalman-cnps8x-optima-cpu-cooler-cnps8x-optima,"1200,2100","18.2,30",,
ROCCAT ROCC-16003,,https://pcpartpicker.com/product/tbvbt6/roccat-rocc-16003-410-cfm-cpu-cooler-rocc-16003,"800,2200",25,Black / Silver,
RAIJINTEK LETO W,,https://pcpartpicker.com/product/6QPKHx/raijintek-leto-w-670-cfm-cpu-cooler-0r100061,"800,1800",29,Black / Blue,
RAIJINTEK LETO R,,https://pcpartpicker.com/product/zPF48d/raijintek-leto-r-670-cfm-cpu-cooler-0r100062,"800,1800",29,Black / Red,
ID-COOLING AURAFLOW 120,,https://pcpartpicker.com/product/WQdxFT/id-cooling-auraflow-120-745-cfm-liquid-cpu-cooler-auraflow-120,"700,1800","18,35.2",Black,120
ID-COOLING AURAFLOW 120 SNOW,,https://pcpartpicker.com/product/6Wc48d/id-cooling-auraflow-120-snow-745-cfm-liquid-cpu-cooler-auraflow-120-snow,"700,1800","18,35.2",White,120
Scythe SCBYK-1000,,https://pcpartpicker.com/product/LwyV3C/scythe-scbyk-1000-465-cfm-cpu-cooler-scbyk-1000,"300,2300","7.2,28.26",Silver / Black,
Scythe SCIOR-1000,,https://pcpartpicker.com/product/NHprxr/scythe-scior-1000-437-cfm-cpu-cooler-scior-1000,"300,1800","4.5,26.7",Black / Silver,
Antec Mercury 360,,https://pcpartpicker.com/product/4dzkcf/antec-mercury-360-7331-cfm-liquid-cpu-cooler-mercury-360,"900,1800",30,Black / White,360
Alphacool EISBAER LT120,,https://pcpartpicker.com/product/zNMwrH/alphacool-eisbaer-lt120-6385-cfm-liquid-cpu-cooler-11444,"550,1700",29,Black,120
Akasa Venom,,https://pcpartpicker.com/product/3qCD4D/akasa-venom-8363-cfm-cpu-cooler-ak-ccx-4002hpv2,"600,1900","6.9,28.9",Yellow / Black,
Deepcool Captain 240 Pro,,https://pcpartpicker.com/product/pHNgXL/deepcool-captain-240-pro-6934-cfm-liquid-cpu-cooler-dp-gs-h12ar-ct240p,"500,1800",30,Black,240
Thermalright Macho 120 SBM,,https://pcpartpicker.com/product/GTCFf7/thermalright-macho-120-sbm-5581-cfm-cpu-cooler-macho-120-sbm,"300,1300","21,33",Black / White,
Cooler Master I71C RGB,,https://pcpartpicker.com/product/v9XnTW/cooler-master-i71c-rgb-37-cfm-cpu-cooler-rr-i71c-20pc-b1,1800,28,Silver / Black,
ID-COOLING IS-50X,,https://pcpartpicker.com/product/CNvqqs/id-cooling-is-50x-536-cfm-cpu-cooler-is-50x,"600,1600","13.8,30.2",Black,
upHere ACC92RD,,https://pcpartpicker.com/product/hwCFf7/uphere-acc92rd-497-cfm-cpu-cooler-acc92rd-usa,"600,1700","16.1,27.7",Black,
upHere CCF150RD,,https://pcpartpicker.com/product/hcyqqs/uphere-ccf150rd-497-cfm-cpu-cooler-ccf150rd-usa,"600,1800","16.1,27.7",Black,
upHere AC12,,https://pcpartpicker.com/product/QWK2FT/uphere-ac12rd-cpu-cooler-ac12rd,"600,1750","16.1,27.7",Black,
Dynatron K987,,https://pcpartpicker.com/product/qQW9TW/dynatron-k987-cpu-cooler-k987,"1200,2800","16.08,34.48",Black / Silver,
Reeven Justice II,,https://pcpartpicker.com/product/FFrYcf/reeven-justice-ii-5093-cfm-cpu-cooler-rc-1207,"300,1200","5.83,25.1",Black / Silver,
RAIJINTEK Orcus 360,,https://pcpartpicker.com/product/VKDkcf/raijintek-orcus-360-4217-cfm-liquid-cpu-cooler-0r100081,"800,1800",23,Black,360
RAIJINTEK Orcus 120,,https://pcpartpicker.com/product/wB6qqs/raijintek-orcus-120-4217-cfm-liquid-cpu-cooler-0r100080,"800,1800",23,Black,120
Akasa K25,,https://pcpartpicker.com/product/T6n8TW/akasa-k25-335-cfm-cpu-cooler-ak-cc7118hp01,"600,3000",28.71,,
Deepcool CASTLE 240EX RGB,,https://pcpartpicker.com/product/ztnypg/deepcool-castle-240ex-rgb-606-cfm-liquid-cpu-cooler-dp-gs-h12-csl240ex-rgb,"500,1800",35,Black,240
Thermalright Assassin King 120 Plus,,https://pcpartpicker.com/product/vK2WGX/thermalright-assassin-king-120-plus-6617-cfm-cpu-cooler-ak-120-plus,1500,25.6,Black / Silver,
ID-COOLING DK-09i,,https://pcpartpicker.com/product/8JcG3C/id-cooling-dk-09i-3862-cfm-cpu-cooler-dk-09i,2200,26.8,,
ID-COOLING DK-03 RGB PWM,,https://pcpartpicker.com/product/QqjBD3/id-cooling-dk-03-rgb-pwm-584-cfm-cpu-cooler-dk-03-rgb-pwm,"800,1600","16,20.2",,
ID-COOLING IS-50 MAX RGB,,https://pcpartpicker.com/product/HBkWGX/id-cooling-is-50-max-rgb-565-cfm-cpu-cooler-is-50-max-rgb,"900,2000","16,31.5",,
ID-COOLING SE-904-XT SLIM,,https://pcpartpicker.com/product/7TQcCJ/id-cooling-se-904-xt-slim-458-cfm-cpu-cooler-se-904-xt-slim,"600,2200","14,25.8",,
ID-COOLING SE-223 BASIC,,https://pcpartpicker.com/product/jpC48d/id-cooling-se-223-basic-56-cfm-cpu-cooler-se-223-basic,"500,1600","16,20.2",,
ID-COOLING SE-224-XT-R,,https://pcpartpicker.com/product/tgGbt6/id-cooling-se-224-xt-r-7616-cfm-cpu-cooler-se-224-xt-r,"700,1800","15.2,32.5",,
ID-COOLING SE-802-SD,,https://pcpartpicker.com/product/PnxRsY/id-cooling-se-802-sd-287-cfm-cpu-cooler-se-802-sd,2200,23.3,,
ID-COOLING HUNTER VC-TWIN,,https://pcpartpicker.com/product/2VkWGX/id-cooling-hunter-vc-twin-607-cfm-cpu-cooler-hunter-vc-twin,"800,1800","16.2,29.2",,
ID-COOLING ZOOMFLOW 360,,https://pcpartpicker.com/product/HN8bt6/id-cooling-zoomflow-360-552-cfm-liquid-cpu-cooler-zoomflow-360,"900,2000","16.3,33.5",Black,360
In Win BR36,123.4,https://pcpartpicker.com/product/YN8bt6/in-win-br36-8296-cfm-liquid-cpu-cooler-iw-lc-br36,"400,1800",35.5,Black / White,360
Cooler Master Vortex 211P,,https://pcpartpicker.com/product/KqGbt6/cooler-master-vortex-211p-383-cfm-cpu-cooler-rr-v211-22fk-r1,2200,,,
Cooler Master X Dream L115,,https://pcpartpicker.com/product/FPPQzy/cooler-master-x-dream-l115-2298-cfm-cpu-cooler-rr-x115-22fk-r1,2200,,,
Cooler Master X Dream P115,,https://pcpartpicker.com/product/3RD7YJ/cooler-master-x-dream-p115-52-cfm-cpu-cooler-rr-x115-40pk-r1,"900,4000","19,36",,
Thermalright Frozen Magic 360,,https://pcpartpicker.com/product/x2QcCJ/thermalright-frozen-magic-360-6617-cfm-liquid-cpu-cooler-frozen-magic-360,1500,25.6,Black,360
Jonsbo HX6240,,https://pcpartpicker.com/product/HWbRsY/jonsbo-hx6240-8304-cfm-cpu-cooler-hx6240-black,"700,1800","28,37.6",Black,
Jonsbo HX6240,,https://pcpartpicker.com/product/pK4Zxr/jonsbo-hx6240-8304-cfm-cpu-cooler-hx6240-white,"700,1800","28,37.6",White,
Noua Siberus TR360,,https://pcpartpicker.com/product/DnpQzy/noua-siberus-tr360-75-cfm-liquid-cpu-cooler-lc0320-tr360,"800,1800","25,32",Black,360
Noua Polaris LM240,,https://pcpartpicker.com/product/HpKscf/noua-polaris-lm240-801-cfm-liquid-cpu-cooler-lc0320-lm240,2200,38,Black / White,240
Noua Siberus TR241,,https://pcpartpicker.com/product/pDjRsY/noua-siberus-tr241-75-cfm-liquid-cpu-cooler-lc0320-tr241,"800,1800","25,32",White,240
Noua Arcade,,https://pcpartpicker.com/product/KnpQzy/noua-arcade-6247-cfm-cpu-cooler-ac0619-arc21,"700,1800",37.1,Black,
Noua Ena,,https://pcpartpicker.com/product/3spQzy/noua-ena-7359-cfm-cpu-cooler-ac0322-ena23,"800,1800",28,Black / Silver,
Inter-Tech ALSEYE MAX 120,,https://pcpartpicker.com/product/Vt3NnQ/inter-tech-alseye-max-120-66-cfm-liquid-cpu-cooler-88885505,"600,1800","16.5,32.5",Black,120
Deepcool LE320,,https://pcpartpicker.com/product/gkwmP6/deepcool-le320-8585-cfm-liquid-cpu-cooler-r-le320-whammn-g-1,"500,2250",32.9,White,120
