name,price,href,type,color,psu,side_panel,external_volume,internal_35_bays
RAIJINTEK Thetis,,https://pcpartpicker.com/product/3jgPxr/raijintek-thetis-silverwindowless-atx-mid-tower-case-0r200052,ATX Mid Tower,Silver,,,27.7,2
Silverstone SETA A1,138.54,https://pcpartpicker.com/product/W8CFf7/silverstone-seta-a1-atx-mid-tower-case-sst-sea1sb-g,ATX Mid Tower,Silver / Black,,Tempered Glass,45.7,2
Jonsbo UMX6,,https://pcpartpicker.com/product/YYNYcf/jonsbo-umx6-atx-full-tower-case-umx6-black,ATX Full Tower,Black,,,54.1,2
BitFenix Aegis Core,,https://pcpartpicker.com/product/FtJkcf/bitfenix-case-bfcaeg300bkwn1rp,MicroATX Mid Tower,Blue,,Acrylic,46.2,4
Azza Eclipse 440,79.98,https://pcpartpicker.com/product/VnbTwP/azza-eclipse-440-atx-mid-tower-case-csaz-440,ATX Mid Tower,Black,,Tempered Glass,45.5,2
Zalman M1,,https://pcpartpicker.com/product/YHV48d/zalman-case-m1,Mini ITX Tower,Black,,,,3
RAIJINTEK PAEAN M,,https://pcpartpicker.com/product/3ZjJ7P/raijintek-paean-m-microatx-mini-tower-case-0r200068,MicroATX Mini Tower,Black,,Tempered Glass,40.9,1
Cougar Dust 2,,https://pcpartpicker.com/product/Bm4Ycf/cougar-dust-2-mini-itx-tower-case-385qm900003,Mini ITX Tower,Black / Gold,,Mesh,23.6,0
CiT S012B,,https://pcpartpicker.com/product/bjHqqs/cit-s012b-microatx-desktop-case-w300-w-power-supply-s012b,MicroATX Desktop,Black,300,,12.2,2
Thermaltake DH102,,https://pcpartpicker.com/product/zkQypg/thermaltake-case-vh2001bns,HTPC,Black / Silver,,,28.1,3
Thermaltake AH T200,,https://pcpartpicker.com/product/DHxRsY/thermaltake-ah-t200-microatx-mid-tower-case-ca-1r4-00sawn-00,MicroATX Mid Tower,Pink / Black,,Tempered Glass,69.1,2
Silverstone FARA R1 PRO V2,,https://pcpartpicker.com/product/FqKKHx/silverstone-fara-r1-pro-v2-atx-mid-tower-case-sst-far1w-pro-v2,ATX Mid Tower,White,,Tempered Glass,40.1,2
Enermax ENERPAZO EP237 RGB,,https://pcpartpicker.com/product/D2CZxr/enermax-enerpazo-ep237-rgb-atx-mid-tower-case-eca-ep237-ww-argb,ATX Mid Tower,White,,Tempered Glass,40,2
Thermaltake S500 Tempered Glass Snow Edition,,https://pcpartpicker.com/product/hbcRsY/thermaltake-s500-tempered-glass-snow-edition-atx-mid-tower-case-ca-1o3-00m6wn-00,ATX Mid Tower,White,,Tempered Glass,67.8,2
Cougar DarkBlader X5,,https://pcpartpicker.com/product/F3rYcf/cougar-darkblader-x5-atx-mid-tower-case-dark-blader-x5-black,ATX Mid Tower,Black,,Tempered Glass,50,2
Cougar MX430 Air RGB,,https://pcpartpicker.com/product/pjFbt6/cougar-mx430-air-rgb-atx-mid-tower-case-cgr-51c6w-air-rgb,ATX Mid Tower,White / Black,,Tempered Glass,37.6,2
